trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.4796033353726209}",20,9,16.478939877773307,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.4604192019577161}",20,0,-112.6921849071535,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.4420024338794074}",20,0,-24.655432363624076,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.42432233652423107}",30,0,-43.66593647834284,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.4073494430632618}",30,0,-45.05008965946211,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.3910554653407313}",30,5,-47.19857655280623,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.3754132467271021}",30,10,14.943406239518351,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.360396716858018}",30,3,-71.32233495293191,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.34598084818369723}",20,0,-26.912059231582283,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.33214161425634936}",30,0,-24.973148324816425,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.3188559496860954}",20,6,-6.821878101655325,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.3061017116986515}",20,0,-110.85628664463886,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.29385764323070546}",30,0,2.350340108152131,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.28210333750147726}",20,3,5.07654978582326,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.2708192040014181}",20,0,30.69280591327503,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.2599864358413614}",30,0,30.139846886071357,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.24958697840770694}",25,0,-4.7384968426309735,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.23960349927139865}",30,0,18.4151665972497,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.23001935930054268}",25,9,-31.08700493523665,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.22081858492852097}",30,0,19.85959812045291,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.21198584153138014}",25,15,8.527897895786756,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.20350640787012492}",25,0,20.205086527880027,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.19536615155531992}",30,0,-34.94404326301218,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.18755150549310712}",20,7,7.84171403553707,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.18004944527338282}",20,7,4.195196041689506,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.1728474674624475}",30,0,-15.401209705130578,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
